total_population,avg_stars,percent_caucasian,has_wifi,yearly_household_income,price_range,people_per_household,is_wheelchair_accessible
71347,2,0.627861017,1,47691,1,2.64,0
46684,2.5,0.344250707,0,33787,2,2.33,0
40333,3.5,0.199092555,1,28385,2,3.39,0
18074,3,0.518977537,1,56168,2,3.11,0
44241,3,0.60482358,1,42137,1,2.62,0
7013,3.5,0.531584201,1,45257,2,1.89,0
34641,3.5,0.146935712,1,29183,2,2.69,0
47815,2,0.495911325,0,34532,2,2.57,0
18541,4,0.865541233,1,89030,1,2.39,0
25264,5,0.789463268,1,62733,2,2.15,0
31300,3,0.551980831,1,26473,2,2.23,0
7013,4,0.531584201,1,45257,1,1.89,0
46684,3.5,0.344250707,1,33787,1,2.33,0
36244,5,0.689934886,1,52137,1,2.47,0
51930,3.5,0.624706336,1,49173,2,2.54,0
31486,4.5,0.673632726,1,47646,2,2.65,0
25850,4,0.480502901,1,62396,1,2.6,0
42749,3,0.814779293,0,80477,2,3.02,0
